aspect,aspect_no,keywords
Location,1,airport
Location,1,area
Location,1,bay
Location,1,beach
Location,1,beach_front
Location,1,beach_very
Location,1,beautiful_beach
Location,1,beautiful_place
Location,1,beautiful_view
Location,1,city
Location,1,far
Location,1,far_away
Location,1,far_away
Location,1,garden
Location,1,golf
Location,1,great_location
Location,1,hill
Location,1,hustle_bustle
Location,1,island
Location,1,jungle
Location,1,lagoon
Location,1,lake
Location,1,location
Location,1,market
Location,1,minute_walk
Location,1,mountain
Location,1,national_park
Location,1,nature
Location,1,nearby
Location,1,night_market
Location,1,ocean
Location,1,paradise
Location,1,park
Location,1,place
Location,1,private_beach
Location,1,rice_field
Location,1,river
Location,1,sand
Location,1,sea
Location,1,spot
Location,1,sunset
Location,1,surround
Location,1,town
Location,1,village
Location,1,walk_distance
Cleanliness,2,beach_clean
Cleanliness,2,clean
Cleanliness,2,clean_comfortable
Cleanliness,2,clean_room
Cleanliness,2,dingy
Cleanliness,2,dirty
Cleanliness,2,dirty
Cleanliness,2,disinfected
Cleanliness,2,dusty
Cleanliness,2,filthy
Cleanliness,2,gleaming
Cleanliness,2,grimy
Cleanliness,2,grubby
Cleanliness,2,hygienic
Cleanliness,2,immaculate
Cleanliness,2,moldy
Cleanliness,2,neat
Cleanliness,2,nice_clean
Cleanliness,2,orderly
Cleanliness,2,pristine
Cleanliness,2,room_clean
Cleanliness,2,sanitary
Cleanliness,2,sleazy
Cleanliness,2,smelly
Cleanliness,2,soiled
Cleanliness,2,sparkling
Cleanliness,2,spotless
Cleanliness,2,stained
Cleanliness,2,swarming
Cleanliness,2,tidy
Cleanliness,2,unblemished
Cleanliness,2,unclean
Cleanliness,2,unhygienic
Cleanliness,2,unsanitary
Cleanliness,2,well_maintain
Comfort,3,awake
Comfort,3,bed
Comfort,3,bed_comfortable
Comfort,3,cold
Comfort,3,comfortable
Comfort,3,comfortable_bed
Comfort,3,comfy
Comfort,3,every_night
Comfort,3,hot
Comfort,3,king_size
Comfort,3,loud
Comfort,3,night
Comfort,3,noise
Comfort,3,noisy
Comfort,3,privacy
Comfort,3,quiet
Comfort,3,relax
Comfort,3,rest
Comfort,3,sleep
Comfort,3,uncomfortable
Comfort,3,very_comfortable
Comfort,3,very_quiet
Comfort,3,villa_private
Comfort,3,wake
Facilities,4,accommodation
Facilities,4,air
Facilities,4,air_con
Facilities,4,air_condition
Facilities,4,amenity
Facilities,4,attention_detail
Facilities,4,balcony
Facilities,4,bath
Facilities,4,bathroom
Facilities,4,beach_front
Facilities,4,beach_pool
Facilities,4,beach_villa
Facilities,4,beach_villa
Facilities,4,bedroom
Facilities,4,bedroom_villa
Facilities,4,building
Facilities,4,bungalow
Facilities,4,chair
Facilities,4,decoration
Facilities,4,design
Facilities,4,everything_need
Facilities,4,facility
Facilities,4,farm_stay
Facilities,4,front_villa
Facilities,4,furniture
Facilities,4,fusion_resort
