tripType,hotelName,Count,Type,Stars,English Name
COUPLES,Khách sạn Nam Hải Hội An,1024,Resort,5,"Four Seasons Resort The Nam Hai, Hoi An"
COUPLES,Banyan Tree Lang Co,651,Resort,5,Banyan Tree Lang Co
FAMILY,Angsana Lang Co Vietnam,579,Resort,5,Angsana Lang Co Vietnam
COUPLES,Six Senses Ninh Van Bay,554,Resort,5,Six Senses Ninh Van Bay
COUPLES,Phong Nha Farmstay,550,Homestay / Farmstay / House / Lodge / Eco,,Phong Nha Farmstay
FAMILY,Khách sạn Nam Hải Hội An,517,Resort,5,"Four Seasons Resort The Nam Hai, Hoi An"
COUPLES,Khu Nghỉ Dưỡng Chen Sea & Spa,491,Resort,4,Chen Sea Resort & Spa
COUPLES,Angsana Lang Co Vietnam,432,Resort,5,Angsana Lang Co Vietnam
COUPLES,L'Alya Ninh Vân Bay,385,Resort,5,L'Alya Ninh Van Bay
COUPLES,Vedana Lagoon Resort & Spa,370,Resort,,Vedana Lagoon Resort & Spa
COUPLES,Lapochine Beach Resort,345,Resort,,Lapochine Beach Resort
COUPLES,The Anam,340,Resort,5,The Anam
FAMILY,Banyan Tree Lang Co,338,Resort,5,Banyan Tree Lang Co
COUPLES,Khu Nghỉ Dưỡng Fusion Resort Phú Quốc,328,Resort,,Fusion Resort Phu Quoc
FAMILY,Premier Village Phu Quoc Resort - Managed by Accor,286,Resort,,Premier Village Phu Quoc Resort - Managed by Accor
COUPLES,JW Marriott Phu Quoc Emerald Bay Resort & Spa,277,Resort,5,JW Marriott Phu Quoc Emerald Bay Resort & Spa
COUPLES,Ana Mandara Villas Dalat Resort & Spa,275,Resort,,Ana Mandara Villas Dalat Resort & Spa
COUPLES,An Lâm Retreats Saigon River,271,Hotel,5,An Lâm Retreats Saigon River
COUPLES,Peppercorn Beach Resort,243,Resort,,Peppercorn Beach Resort
COUPLES,Phong Nha Lake House Resort,234,Resort,,Phong Nha Lake House Resort
FAMILY,Six Senses Ninh Van Bay,234,Resort,5,Six Senses Ninh Van Bay
FAMILY,Vinpearl Discovery Coastalland Phú Quốc,225,Hotel,5,Vinpearl Discovery Coastalland Phu Quoc
FAMILY,Phong Nha Farmstay,222,Homestay / Farmstay / House / Lodge / Eco,,Phong Nha Farmstay
FAMILY,JW Marriott Phu Quoc Emerald Bay Resort & Spa,215,Resort,5,JW Marriott Phu Quoc Emerald Bay Resort & Spa
COUPLES,Mekong Lodge,204,Homestay / Farmstay / House / Lodge / Eco,,Mekong Lodge
FAMILY,VinOasis Phu Quoc,195,Resort,4,VinOasis Phu Quoc
FAMILY,The Anam,193,Resort,5,The Anam
FAMILY,Khu Nghỉ Dưỡng Chen Sea & Spa,179,Resort,4,Chen Sea Resort & Spa
FRIENDS,Phong Nha Farmstay,178,Homestay / Farmstay / House / Lodge / Eco,,Phong Nha Farmstay
COUPLES,Fusion Resort Cam Ranh,177,Resort,,Fusion Resort Cam Ranh
NONE,Khách sạn Nam Hải Hội An,168,Resort,5,"Four Seasons Resort The Nam Hai, Hoi An"
FAMILY,Khu Nghỉ Dưỡng Fusion Resort Phú Quốc,164,Resort,,Fusion Resort Phu Quoc
FRIENDS,Khách sạn Nam Hải Hội An,146,Resort,5,"Four Seasons Resort The Nam Hai, Hoi An"
FAMILY,Lapochine Beach Resort,145,Resort,,Lapochine Beach Resort
FRIENDS,Angsana Lang Co Vietnam,140,Resort,5,Angsana Lang Co Vietnam
FAMILY,An Lâm Retreats Saigon River,138,Hotel,5,An Lâm Retreats Saigon River
NONE,Banyan Tree Lang Co,136,Resort,5,Banyan Tree Lang Co
NONE,Phong Nha Farmstay,135,Homestay / Farmstay / House / Lodge / Eco,,Phong Nha Farmstay
COUPLES,Oasis Hotel,132,Hotel,,Oasis Hotel
FAMILY,Peppercorn Beach Resort,132,Resort,,Peppercorn Beach Resort
FAMILY,L'Alya Ninh Vân Bay,122,Resort,5,L'Alya Ninh Van Bay
NONE,Melia Ho Tram Beach Resort,122,Resort,,Melia Ho Tram Beach Resort
FAMILY,Meliá Vinpearl Cam Ranh Beach Resort,119,Resort,,Meliá Vinpearl Cam Ranh Beach Resort
FAMILY,Ana Mandara Villas Dalat Resort & Spa,118,Resort,,Ana Mandara Villas Dalat Resort & Spa
COUPLES,Khu nghỉ dưỡng & Spa Bãi Biển Hồ Tràm,116,Resort,4,Ho Tram Beach Resort & Spa
SOLO,Phong Nha Farmstay,115,Homestay / Farmstay / House / Lodge / Eco,,Phong Nha Farmstay
FRIENDS,Vietnam Backpacker Hostels - Ninhvana,115,Guesthouse / Hostel,,Vietnam Backpacker Hostels - Ninhvana
FAMILY,Fusion Resort Cam Ranh,114,Resort,,Fusion Resort Cam Ranh
NONE,JW Marriott Phu Quoc Emerald Bay Resort & Spa,114,Resort,5,JW Marriott Phu Quoc Emerald Bay Resort & Spa
NONE,The Anam,113,Resort,5,The Anam
FAMILY,Vedana Lagoon Resort & Spa,110,Resort,,Vedana Lagoon Resort & Spa
COUPLES,Green Bamboo Lodge,109,Homestay / Farmstay / House / Lodge / Eco,,Green Bamboo Lodge
COUPLES,Green Bay Phu Quoc Resort & Spa,109,Resort,,Green Bay Phu Quoc Resort & Spa
COUPLES,Mango Home Riverside,108,Hotel,3,Mango Home Riverside
NONE,Premier Village Phu Quoc Resort - Managed by Accor,108,Resort,,Premier Village Phu Quoc Resort - Managed by Accor
FAMILY,Radisson Blu Resort Phu Quoc,108,Resort,,Radisson Blu Resort Phu Quoc
COUPLES,Radisson Blu Resort Phu Quoc,107,Resort,,Radisson Blu Resort Phu Quoc
